Date,Close,1_day_performance,week_performance,month_performance,3month_performance,6month_performance,1yr_performance,Ticker,quoteType,longName,sector,industry,website
2025-01-08 00:00:00-05:00,176.99,-0.47,8.83,2.88,-11.11,-25.13,18.1,AMAT,EQUITY,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,https://www.appliedmaterials.com
2025-01-08 00:00:00-05:00,329.2,-0.24,1.66,-13.16,143.4,288.12,741.08,APP,EQUITY,AppLovin Corporation,Technology,Software - Application,https://www.applovin.com
2025-01-08 00:00:00-05:00,145.2,0.57,17.7,5.26,5.03,-8.58,102.0,ARM,EQUITY,Arm Holdings plc,Technology,Semiconductors,https://www.arm.com
2025-01-08 00:00:00-05:00,244.49,-1.36,0.46,-11.65,52.39,37.16,3.91,TEAM,EQUITY,Atlassian Corporation,Technology,Software - Application,https://www.atlassian.com
2025-01-08 00:00:00-05:00,296.37,1.91,0.27,-2.88,10.34,20.56,25.6,ADSK,EQUITY,"Autodesk, Inc.",Technology,Software - Application,https://www.autodesk.com
2025-01-08 00:00:00-05:00,291.89,1.21,-0.29,-2.78,3.09,25.13,26.81,ADP,EQUITY,"Automatic Data Processing, Inc.",Technology,Software - Application,https://www.adp.com
2025-01-08 00:00:00-05:00,577.34,2.72,-2.86,-16.3,39.1,99.63,131.77,AXON,EQUITY,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,https://www.axon.com
2025-01-08 00:00:00-05:00,43.44,0.09,5.9,2.19,16.33,25.79,40.95,BKR,EQUITY,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,https://www.bakerhughes.com
2025-01-08 00:00:00-05:00,150.75,-1.57,-1.42,-5.34,-18.42,-34.96,-41.08,BIIB,EQUITY,Biogen Inc.,Healthcare,Drug Manufacturers - General,https://www.biogen.com
2025-01-08 00:00:00-05:00,4872.42,1.59,-1.93,-7.71,18.92,25.92,40.88,BKNG,EQUITY,Booking Holdings Inc.,Consumer Cyclical,Travel Services,https://www.bookingholdings.com
2025-01-08 00:00:00-05:00,302.73,0.35,0.76,-0.35,13.9,-2.63,15.66,CDNS,EQUITY,"Cadence Design Systems, Inc.",Technology,Software - Application,https://www.cadence.com
2025-01-08 00:00:00-05:00,181.34,0.2,4.19,1.7,-16.62,-16.75,-15.94,CDW,EQUITY,CDW Corporation,Technology,Information Technology Services,https://www.cdw.com
2025-01-08 00:00:00-05:00,349.32,0.49,1.91,-13.56,8.35,18.01,-5.23,CHTR,EQUITY,"Charter Communications, Inc.",Communication Services,Telecom Services,https://www.corporate.charter.com
2025-01-08 00:00:00-05:00,192.65,2.08,5.45,-13.7,-5.65,12.14,35.42,CTAS,EQUITY,Cintas Corporation,Industrials,Specialty Business Services,https://www.cintas.com
2025-01-08 00:00:00-05:00,75.91,0.09,-1.17,-3.16,0.59,5.74,19.9,CCEP,EQUITY,Coca-Cola Europacific Partners PLC,Consumer Defensive,Beverages - Non-Alcoholic,https://www.cocacolaep.com
2025-01-08 00:00:00-05:00,76.02,0.53,-1.14,-5.83,-0.28,13.11,5.58,CTSH,EQUITY,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,https://www.cognizant.com
2025-01-08 00:00:00-05:00,37.17,0.81,-0.13,-12.4,-8.15,-0.26,-11.37,CMCSA,EQUITY,Comcast Corporation,Communication Services,Telecom Services,https://corporate.comcast.com
2025-01-08 00:00:00-05:00,243.84,-4.61,9.0,-4.78,-11.95,19.33,110.77,CEG,EQUITY,Constellation Energy Corporation,Utilities,Utilities - Renewable,https://www.constellationenergy.com
2025-01-08 00:00:00-05:00,56.78,0.96,-1.06,-8.29,8.79,6.43,20.09,CPRT,EQUITY,"Copart, Inc.",Industrials,Specialty Business Services,https://www.copart.com
