No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
336,UN9,UNIQA Insurance Group AG,2.42B,7.89,0.13%,7.02B
337,TKA,thyssenkrupp AG,2.40B,3.85,-0.08%,35.04B
338,GXI,Gerresheimer AG,2.38B,68.95,-0.72%,2.01B
339,PLUN,Plug Power Inc.,2.36B,2.59,-0.67%,591.31M
340,TEG,TAG Immobilien AG,2.33B,13.35,0.38%,1.38B
341,DMP,Dermapharm Holding SE,2.16B,39.8,-0.62%,1.17B
342,DOU,Douglas AG,2.14B,19.86,-0.70%,4.45B
343,1U1,1&1 AG,2.10B,11.94,0.67%,4.08B
344,R3NK,RENK Group AG,2.08B,20.74,-0.24%,1.05B
345,SZU,Südzucker AG,2.08B,10.09,-0.79%,10.32B
346,HFG,HelloFresh SE,2.02B,12.71,1.27%,7.71B
347,LXS,LANXESS Aktiengesellschaft,2.00B,23.11,-1.74%,6.32B
348,MVV1,MVV Energie AG,1.98B,30.0,-1.32%,6.37B
349,O3P,Österreichische Post AG,1.95B,29.0,0.69%,3.02B
350,SDF,K+S Aktiengesellschaft,1.93B,10.7,-1.15%,3.70B
351,KWS,KWS SAAT SE & Co. KGaA,1.92B,58.3,0.52%,1.72B
352,GYC,Grand City Properties S.A.,1.90B,11.07,0.36%,598.93M
353,RHF,RHI Magnesita N.V.,1.85B,38.8,0.52%,3.57B
354,AOF,ATOSS Software SE,1.83B,114.4,-0.35%,166.83M
355,AIXA,AIXTRON SE,1.72B,15.28,-0.16%,620.63M
356,FMV,First Majestic Silver Corp.,1.72B,5.84,3.84%,470.91M
357,GBF,Bilfinger SE,1.70B,46.1,1.65%,4.87B
358,FTK,flatexDEGIRO AG,1.68B,15.55,-1.11%,443.06M
359,TMV,TeamViewer SE,1.56B,10.23,-1.54%,657.57M
360,B4B,Metro AG,1.53B,4.18,-1.07%,31.03B
361,B4B3,Metro AG,1.53B,4.8,-2.83%,31.03B
362,PFV,Pfeiffer Vacuum Technology AG,1.52B,154.6,0.39%,911.28M
363,MYM,Mayr-Melnhof Karton AG,1.52B,78.0,-,4.04B
364,DUE,Dürr Aktiengesellschaft,1.51B,21.64,-0.64%,4.77B
365,EVT,Evotec SE,1.48B,8.59,3.00%,777.05M
366,DEQ,Deutsche EuroShop AG,1.43B,18.96,2.27%,279.09M
367,BIO,Biotest Aktiengesellschaft,1.36B,41.8,-,707.00M
368,BIO3,Biotest Aktiengesellschaft,1.36B,27.0,-1.46%,707.00M
369,NCH2,thyssenkrupp nucera AG & Co. KGaA,1.35B,10.69,0.09%,862.00M
370,HHFA,Hamburger Hafen und Logistik Aktiengesellschaft,1.32B,17.56,-,1.56B
371,ELG,Elmos Semiconductor SE,1.32B,76.9,2.67%,591.94M
372,WAF,Siltronic AG,1.31B,44.44,1.74%,1.41B
